id_puesto,municipio,zona,num_puesto,nombre_puesto,votos_camilo,votos_sanchez,votos_nanclares,votos_carvalho_2022,votos_hoyos,votos_zuluaga,votos_creemos,votos_pacto,votos_cd_total,nombre_norm,PUESTO,DIRECCIÓN,lat,lon,COMUNA,tipo_match,pct_medellin_camilo,pct_zona_camilo,pct_medellin_carvalho,pct_zona_carvalho,pct_medellin_sanchez,pct_zona_sanchez,pct_medellin_nanclares,pct_zona_nanclares,pct_medellin_hoyos,pct_zona_hoyos,pct_medellin_creemos,pct_zona_creemos,pct_medellin_pacto,pct_zona_pacto,pct_medellin_cd,pct_zona_cd
1_1,MEDELLIN,1,1.0,SEC. ESC. LA ESPERANZA No 2,4,6,3,23,24,39,290,816,613,SEC. ESC. LA ESPERANZA NO 2,SEC. ESC. LA ESPERANZA No 2,KR 29 # 102 - 20,6.29116,-75.541166,01COMUNA 1 POPULAR,exacto,0.0607,19.0476,0.096,27.0588,0.211,15.7895,0.0975,7.8947,0.1544,36.3636,0.1749,11.7743,0.4819,13.8988,0.2052,16.0345
1_2,MEDELLIN,1,2.0,INST.EDUC. LA CANDELARIA,7,14,12,18,17,31,532,1150,951,INST.EDUC. LA CANDELARIA,INST.EDUC. LA CANDELARIA,CL 106 # 32-100,6.2935183,-75.5424117,01COMUNA 1 POPULAR,exacto,0.1062,33.3333,0.0751,21.1765,0.4923,36.8421,0.3899,31.5789,0.1093,25.7576,0.3209,21.5997,0.6791,19.5878,0.3183,24.8758
1_3,MEDELLIN,1,3.0,IE MARIA DE LOS ANGELES CANO MARQUEZ,3,5,2,12,6,20,404,904,577,IE MARIA DE LOS ANGELES CANO MARQUEZ,IE MARIA DE LOS ANGELES CANO MARQUEZ,CRA 36B No 102C -54,6.2923713,-75.5448303,01COMUNA 1 POPULAR,exacto,0.0455,14.2857,0.0501,14.1176,0.1758,13.1579,0.065,5.2632,0.0386,9.0909,0.2437,16.4028,0.5338,15.3977,0.1931,15.0929
1_4,MEDELLIN,1,4.0,SEC. ESC. MEDELLIN,2,8,9,26,7,51,570,739,766,SEC. ESC. MEDELLIN,SEC. ESC. MEDELLIN,CL 96 # 36-45,6.2867589,-75.5465494,01COMUNA 1 POPULAR,exacto,0.0303,9.5238,0.1085,30.5882,0.2813,21.0526,0.2924,23.6842,0.045,10.6061,0.3438,23.1425,0.4364,12.5873,0.2564,20.0366
1_5,MEDELLIN,1,5.0,I.E.FE Y ALEGRIA GRANIZAL,1,0,2,2,2,8,184,498,183,I.E.FE Y ALEGRIA GRANIZAL,I.E.FE Y ALEGRIA GRANIZAL,Cra 39A N° 104-23,6.292777,-75.5477324,01COMUNA 1 POPULAR,exacto,0.0152,4.7619,0.0083,2.3529,0.0,0.0,0.065,5.2632,0.0129,3.0303,0.111,7.4706,0.2941,8.4824,0.0613,4.7868
1_6,MEDELLIN,1,6.0,IE LA AVANZADA,1,1,0,1,0,18,40,173,106,IE LA AVANZADA,IE LA AVANZADA,CRA 27 No 106BB-65,6.2943218,-75.5390466,01COMUNA 1 POPULAR,exacto,0.0152,4.7619,0.0042,1.1765,0.0352,2.6316,0.0,0.0,0.0,0.0,0.0241,1.624,0.1022,2.9467,0.0355,2.7727
1_7,MEDELLIN,1,7.0,SEC. ESC. CARPINELO AMAPOLITA,0,0,0,0,1,7,58,247,113,SEC. ESC. CARPINELO AMAPOLITA,SEC. ESC. CARPINELO AMAPOLITA,CALLE 97 # 23-12,6.2869144,-75.5384628,01COMUNA 1 POPULAR,exacto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,1.5152,0.035,2.3549,0.1459,4.2071,0.0378,2.9558
1_8,MEDELLIN,1,8.0,IE ANTONIO DERKA,2,2,4,3,6,19,129,689,237,IE ANTONIO DERKA,IE ANTONIO DERKA,CRA 28 No 107-425,6.2968626,-75.5387284,01COMUNA 1 POPULAR,exacto,0.0303,9.5238,0.0125,3.5294,0.0703,5.2632,0.13,10.5263,0.0386,9.0909,0.0778,5.2375,0.4069,11.7356,0.0793,6.1993
1_9,MEDELLIN,1,9.0,SEC. ESC. NUEVO HORIZONTE 2,1,2,6,0,3,18,256,655,277,SEC. ESC. NUEVO HORIZONTE 2,,,6.29729,-75.54678,,,0.0152,4.7619,0.0,0.0,0.0703,5.2632,0.1949,15.7895,0.0193,4.5455,0.1544,10.3938,0.3868,11.1565,0.0927,7.2456
10_1,MEDELLIN,10,1.0,I.E. MARIA MONTESSORI,25,12,9,82,34,120,1230,1517,1843,I.E. MARIA MONTESSORI,I.E. MARIA MONTESSORI,KR 69A # 92C-87,6.2867714,-75.5750512,05COMUNA 5 CASTILLA,exacto,0.3794,22.9358,0.3422,23.4957,0.4219,19.0476,0.2924,18.3673,0.2187,21.3836,0.7419,26.8032,0.8958,24.2178,0.6169,26.972
